acc,f1s,seed
0.8586326767091541,0.8594470046082949,0
0.8551564310544612,0.8587570621468926,1
0.8528389339513326,0.8486293206197855,2
0.8493626882966396,0.8433734939759037,3
0.8551564310544612,0.8499399759903962,4
0.847045191193511,0.8424821002386634,5
0.8331402085747392,0.8367346938775511,6
0.8203939745075318,0.8152562574493445,7
0.8482039397450754,0.8467836257309942,8
0.8424101969872537,0.8451025056947609,9
0.8528389339513326,0.8493475682087782,10
0.8563151796060255,0.8558139534883721,11
0.8713789107763615,0.8710801393728222,12
0.8644264194669756,0.8637951105937136,13
0.8539976825028969,0.8492822966507177,14
0.8644264194669756,0.8621908127208481,15
0.8609501738122828,0.8591549295774648,16
0.8539976825028969,0.8558352402745996,17
0.8667439165701043,0.8648648648648649,18
0.8539976825028969,0.8574660633484162,19
0.8482039397450754,0.8533034714445689,20
0.8690614136732329,0.8728908886389202,21
0.8528389339513326,0.8507638072855465,22
0.8621089223638471,0.8643101482326112,23
0.8296639629200464,0.8316151202749141,24
0.8597914252607184,0.8604382929642446,25
0.8458864426419467,0.851063829787234,26
0.8597914252607184,0.8635851183765502,27
0.8609501738122828,0.8533007334963325,28
0.8563151796060255,0.8548009367681498,29
