acc,f1s,seed
0.8192352259559675,0.8025316455696202,0
0.8586326767091541,0.8584686774941995,1
0.8064889918887601,0.812989921612542,2
0.8424101969872537,0.8436781609195402,3
0.8447276940903824,0.8445475638051044,4
0.8736964078794901,0.8697729988052568,5
0.8424101969872537,0.8425925925925926,6
0.8412514484356894,0.8363201911589009,7
0.8574739281575898,0.8574739281575898,8
0.8632676709154113,0.8567961165048543,9
0.8238702201622248,0.8272727272727273,10
0.8574739281575898,0.8607021517553793,11
0.8482039397450754,0.8431137724550898,12
0.8505214368482039,0.8529076396807298,13
0.828505214368482,0.8435517970401691,14
0.8400926998841252,0.8184210526315789,15
0.8342989571263036,0.8384180790960452,16
0.8539976825028969,0.8524590163934426,17
0.8609501738122828,0.8533007334963325,18
0.8702201622247973,0.8679245283018868,19
0.8424101969872537,0.8369304556354916,20
0.8227114716106605,0.7989487516425755,21
0.8609501738122828,0.8594847775175644,22
0.7821552723059096,0.7403314917127072,23
0.8505214368482039,0.8529076396807298,24
0.8447276940903824,0.837772397094431,25
0.8146002317497103,0.7837837837837838,26
0.8308227114716107,0.8058510638297872,27
0.8771726535341831,0.8814317673378076,28
0.8597914252607184,0.8518971848225214,29
