acc,f1s,seed
0.8909512761020881,0.8875598086124402,0
0.8619489559164734,0.8561064087061668,1
0.8793503480278422,0.8737864077669902,2
0.895712630359212,0.8899755501222494,3
0.8932714617169374,0.8888888888888888,4
0.8702201622247973,0.8682352941176471,5
0.86558516801854,0.8595641646489104,6
0.8781902552204176,0.8739495798319328,7
0.8783314020857474,0.8748510131108462,8
0.8748551564310545,0.8679706601466992,9
0.8864426419466975,0.882494004796163,10
0.8968713789107764,0.8951707891637221,11
0.8921113689095128,0.8883553421368547,12
0.8899188876013905,0.8867699642431466,13
0.8781902552204176,0.8745519713261649,14
0.8794901506373117,0.8731707317073171,15
0.87122969837587,0.867699642431466,16
0.8899188876013905,0.8873072360616845,17
0.899188876013905,0.8989547038327527,18
0.8713789107763615,0.8683274021352313,19
0.8876013904982619,0.8852071005917159,20
0.8864426419466975,0.8833333333333333,21
0.8968713789107764,0.8973471741637832,22
0.8876013904982619,0.8849347568208779,23
0.8760139049826188,0.8718562874251496,24
0.8909512761020881,0.8856447688564477,25
0.8968713789107764,0.8951707891637221,26
0.8713789107763615,0.867699642431466,27
0.8851508120649652,0.8828402366863906,28
0.880648899188876,0.8766467065868263,29
