acc,f1s,seed
0.8990719257540604,0.9007981755986317,0
0.8851508120649652,0.882282996432818,1
0.9060324825986079,0.9063583815028902,2
0.8980301274623407,0.8967136150234741,3
0.9025522041763341,0.9016393442622951,4
0.8818076477404403,0.8832951945080092,5
0.8922363847045192,0.8896797153024911,6
0.8921113689095128,0.8888888888888888,7
0.8829663962920047,0.8848346636259977,8
0.895712630359212,0.8926014319809069,9
0.8736964078794901,0.8669108669108669,10
0.9015063731170336,0.9054505005561735,11
0.9106728538283063,0.9095182138660399,12
0.899188876013905,0.8975265017667845,13
0.9060324825986079,0.9063583815028902,14
0.8945538818076477,0.8920521945432978,15
0.894431554524362,0.8938156359393232,16
0.899188876013905,0.9003436426116839,17
0.895712630359212,0.8972602739726028,18
0.8933951332560834,0.8930232558139535,19
0.8945538818076477,0.895040369088812,20
0.9084588644264194,0.906508875739645,21
0.8887601390498262,0.8888888888888888,22
0.9038238702201622,0.9060022650056625,23
0.8771726535341831,0.8761682242990654,24
0.8967517401392111,0.8966318234610917,25
0.899188876013905,0.8977673325499412,26
0.8794901506373117,0.8779342723004695,27
0.8979118329466357,0.8983833718244804,28
0.8980301274623407,0.8974358974358975,29
